INFO 2022-07-03 12:18:33,153 test
INFO 2022-07-03 12:24:00,816 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:27:12,561 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:27:12,561 solution 1 ::h   r tnrrmglsnimeNGyosi dtfco
INFO 2022-07-03 12:28:11,658 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:28:11,658 solution 1 ::h   r tnrrmglsnimeNGyosi dtfco
INFO 2022-07-03 12:28:59,596 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:28:59,597 solution 1 ::noitcnuf sti dna gnirts nohtyp GNINrael ma i dna ssalc gnimmargorp nohtyP tsriF yM si siht
INFO 2022-07-03 12:33:57,752 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:36:08,087 sample data::this is My First Python programming class and i am learNING python string and its function
ERROR 2022-07-03 12:36:08,087 can only concatenate str (not "list") to str
INFO 2022-07-03 12:37:22,573 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:37:22,573 solution 3 ::THIS IS MY FIRST PYTHON PROGRAMMING CLASS AND I AM LEARNING PYTHON STRING AND ITS FUNCTION
INFO 2022-07-03 12:42:25,505 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:42:25,505 solution 3 ::THIS IS MY FIRST PYTHON PROGRAMMING CLASS AND I AM LEARNING PYTHON STRING AND ITS FUNCTION
INFO 2022-07-03 12:42:25,505 solution 3 ::THIS IS MY FIRST PYTHON PROGRAMMING CLASS AND I AM LEARNING PYTHON STRING AND ITS FUNCTION
INFO 2022-07-03 12:42:52,482 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:42:52,482 solution 3 ::THIS IS MY FIRST PYTHON PROGRAMMING CLASS AND I AM LEARNING PYTHON STRING AND ITS FUNCTION
ERROR 2022-07-03 12:42:52,482 can only concatenate str (not "list") to str
INFO 2022-07-03 12:43:39,846 sample data::this is My First Python programming class and i am learNING python string and its function
INFO 2022-07-03 12:43:39,846 solution 3 ::THIS IS MY FIRST PYTHON PROGRAMMING CLASS AND I AM LEARNING PYTHON STRING AND ITS FUNCTION
ERROR 2022-07-03 12:43:39,846 can only concatenate str (not "list") to str
