INFO  2022-07-15 21:56:07,645 user sign up
INFO  2022-07-15 22:03:42,288 ineuron login function
INFO  2022-07-15 22:03:42,307 user sign up
ERROR  2022-07-15 22:04:00,938 weakly-referenced object no longer exists
INFO  2022-07-15 22:04:09,116 ineuron login function
INFO  2022-07-15 22:04:09,134 user sign up
INFO  2022-07-15 22:04:38,553 ineuron login function
INFO  2022-07-15 22:04:38,571 user sign up
ERROR  2022-07-15 22:04:53,994 weakly-referenced object no longer exists
INFO  2022-07-15 22:05:27,808 ineuron login function
INFO  2022-07-15 22:05:27,825 user sign up
ERROR  2022-07-15 22:05:39,332 weakly-referenced object no longer exists
INFO  2022-07-15 22:05:52,173 ineuron login function
INFO  2022-07-15 22:05:52,192 user sign up
INFO  2022-07-15 22:06:07,689 ineuron login function
INFO  2022-07-15 22:06:07,707 user sign up
INFO  2022-07-15 22:06:21,551 ineuron login function
INFO  2022-07-15 22:06:21,569 user sign up
ERROR  2022-07-15 22:06:33,008 weakly-referenced object no longer exists
INFO  2022-07-15 22:07:17,696 ineuron login function
INFO  2022-07-15 22:07:17,714 user sign up
ERROR  2022-07-15 22:07:29,942 weakly-referenced object no longer exists
INFO  2022-07-15 22:08:11,578 ineuron login function
INFO  2022-07-15 22:08:11,595 user sign up
ERROR  2022-07-15 22:08:22,394 weakly-referenced object no longer exists
INFO  2022-07-15 22:09:07,866 ineuron login function
INFO  2022-07-15 22:09:07,887 user sign up
ERROR  2022-07-15 22:09:53,069 weakly-referenced object no longer exists
INFO  2022-07-15 22:12:40,555 ineuron login function
INFO  2022-07-15 22:12:40,576 user sign up
ERROR  2022-07-15 22:12:53,419 weakly-referenced object no longer exists
INFO  2022-07-15 22:14:06,621 ineuron login function
INFO  2022-07-15 22:14:06,638 user sign up
ERROR  2022-07-15 22:14:15,927 weakly-referenced object no longer exists
INFO  2022-07-15 22:17:16,324 ineuron login function
INFO  2022-07-15 22:17:16,342 user sign up
INFO  2022-07-15 22:17:49,603 ineuron login function
INFO  2022-07-15 22:17:49,620 user sign up
ERROR  2022-07-15 22:18:06,816 weakly-referenced object no longer exists
INFO  2022-07-15 22:18:42,468 ineuron login function
INFO  2022-07-15 22:18:42,486 user sign up
ERROR  2022-07-15 22:18:50,688 weakly-referenced object no longer exists
INFO  2022-07-15 22:20:37,603 ineuron login function
INFO  2022-07-15 22:20:37,619 user sign up
INFO  2022-07-15 22:21:24,681 ineuron login function
INFO  2022-07-15 22:21:24,698 user sign up
INFO  2022-07-15 22:22:50,274 ineuron login function
INFO  2022-07-15 22:22:50,294 user sign up
ERROR  2022-07-15 22:23:02,014 1146 (42S02): Table 'ineuron.user' doesn't exist
INFO  2022-07-15 22:23:34,597 ineuron login function
INFO  2022-07-15 22:23:34,614 user sign up
INFO  2022-07-15 22:24:29,745 ineuron login function
INFO  2022-07-15 22:24:29,763 user sign up
INFO  2022-07-15 22:24:50,833 ineuron login function
INFO  2022-07-15 22:24:50,852 user sign up
INFO  2022-07-15 22:47:57,793 ineuron login function
INFO  2022-07-15 22:47:57,810 user sign up
INFO  2022-07-15 22:49:05,117 ineuron login function
INFO  2022-07-15 22:49:05,134 user sign up
INFO  2022-07-15 22:49:42,484 ineuron login function
INFO  2022-07-15 22:49:42,509 user sign up
INFO  2022-07-15 22:51:02,727 ineuron login function
INFO  2022-07-15 22:51:02,758 user sign up
INFO  2022-07-16 09:22:46,762 ineuron login function
INFO  2022-07-16 09:22:46,809 user sign up
INFO  2022-07-16 09:28:55,379 ineuron login function
INFO  2022-07-16 09:28:55,394 user sign up
INFO  2022-07-16 09:30:20,508 ineuron login function
INFO  2022-07-16 09:30:20,530 user sign up
INFO  2022-07-16 10:12:35,564 ineuron login function
INFO  2022-07-16 10:12:35,627 user sign up
INFO  2022-07-16 12:07:00,053 ineuron login function
INFO  2022-07-16 12:07:00,108 user sign up
INFO  2022-07-16 12:14:30,413 ineuron login function
INFO  2022-07-16 12:14:30,438 user sign up
INFO  2022-07-16 12:16:57,219 ineuron login function
INFO  2022-07-16 12:16:57,238 user sign up
INFO  2022-07-16 12:17:09,120 ineuron login function
INFO  2022-07-16 12:17:09,138 user sign up
